Time(ms),Altitude(m),RelativeAlt(m),SmoothedAlt(m),Temp(C),Pressure(hPa),AX,AY,AZ,SmoothedAZ,GX,GY,GZ
16124,79.19,0.27,0.18,24.24,1003.77,-3928,-6922,-8536,-2758,-27584,2082,-6062
16494,79.15,0.23,0.20,24.26,1003.78,-10089,-6897,-7095,-2944,-15575,-5153,32767
16630,79.18,0.25,0.21,24.27,1003.78,-1996,14264,6716,-2164,10288,-485,-26735
16764,79.10,0.18,0.20,24.28,1003.78,-4325,-8893,-5976,-1652,6311,6366,-3670
16899,79.12,0.19,0.20,24.29,1003.78,-8339,-12595,-10509,-4089,-12498,-13892,32767
17033,79.18,0.25,0.21,24.29,1003.78,-2507,6534,253,-3322,-6822,-1272,-24281
17170,79.18,0.25,0.21,24.30,1003.78,-3622,-1027,-2680,-2439,-4781,3635,3676
17303,79.15,0.23,0.22,24.31,1003.78,-2361,-1928,-2552,-4292,3703,1796,-1207
17437,79.09,0.17,0.21,24.31,1003.79,-2928,-2113,-2994,-3696,4794,-24,2257
17571,79.11,0.19,0.21,24.32,1003.78,-2470,-1196,-1841,-1962,3993,2993,440
17705,79.19,0.27,0.22,24.32,1003.77,-2903,-2173,-1558,-2325,-2788,-1786,14812
17839,79.25,0.33,0.23,24.31,1003.77,-2848,-1714,-2300,-2249,5580,-2331,107
17976,79.33,0.41,0.25,24.31,1003.76,-2795,-1745,-2378,-2214,4584,-1414,-216
18110,79.40,0.48,0.28,24.31,1003.75,-2608,-1666,-1906,-1996,3970,-2599,-2435
18243,79.51,0.58,0.32,24.30,1003.74,-3161,-2344,-1691,-1966,5211,-6512,-555
18377,79.57,0.64,0.37,24.30,1003.73,-2879,-2675,-886,-1832,4036,-3698,-1640
18511,79.57,0.65,0.40,24.31,1003.73,-2466,-2880,-448,-1461,3366,-1378,-2755
18646,79.58,0.66,0.44,24.31,1003.73,-2926,-3277,-470,-1080,4007,-2428,-3253
18779,79.59,0.66,0.47,24.31,1003.73,-3080,-2850,-347,-768,2663,-1498,-4102
18916,79.65,0.73,0.50,24.32,1003.72,-2645,-3401,-32,-436,-1394,2199,-2063
19050,79.69,0.77,0.54,24.34,1003.71,-2485,-3316,111,-237,-3843,1627,1998
19183,79.71,0.78,0.57,24.34,1003.71,-3872,-3254,-950,-337,-2977,2348,120
19317,79.85,0.93,0.62,24.35,1003.70,-3031,-1554,-1402,-524,951,-3032,713
19450,79.99,1.07,0.68,24.35,1003.68,-2185,-2922,-59,-466,2615,1025,-2220
19585,80.07,1.14,0.74,24.35,1003.67,-1831,-3587,105,-439,2287,-850,-2143
19718,80.03,1.10,0.79,24.35,1003.67,-1498,-3450,1159,-229,29,-4848,159
19854,80.17,1.25,0.85,24.35,1003.66,-2194,-3268,566,73,-2244,-6372,370
19987,80.20,1.27,0.90,24.36,1003.65,-2828,-2668,-212,311,1427,6204,-1245
20121,80.27,1.35,0.96,24.37,1003.65,-2414,-2615,-408,242,4470,3670,-4937
20254,80.36,1.43,1.02,24.37,1003.64,-1427,-4085,1555,532,3079,1798,-4326
20388,80.43,1.51,1.09,24.38,1003.63,-1004,-4219,2261,752,-3540,236,3250
20521,80.41,1.49,1.14,24.38,1003.63,-1827,-3438,1022,843,-4790,-1034,1213
20656,80.44,1.52,1.19,24.38,1003.63,-2524,-3002,-454,795,1497,-2879,-3234
20792,80.45,1.53,1.24,24.38,1003.62,-1590,-2692,1083,1093,-1078,3984,-7303
20926,80.52,1.59,1.28,24.39,1003.62,-659,-3844,-192,744,4359,7587,570
21059,80.65,1.73,1.34,24.39,1003.60,-1235,-3970,838,459,3791,3811,3021
21193,80.66,1.73,1.39,24.39,1003.60,-1200,-3539,-24,250,6154,8334,-2186
21326,80.72,1.80,1.45,24.39,1003.59,-1513,-3539,644,469,4170,12270,-553
21460,80.74,1.82,1.50,24.39,1003.59,-1914,-3512,708,394,2853,7276,1765
21594,80.77,1.85,1.54,24.40,1003.59,-2094,-3540,559,545,585,4310,637
21730,80.65,1.72,1.57,24.40,1003.60,-2378,-3377,290,435,-1304,-868,2038
21863,80.67,1.74,1.59,24.40,1003.60,-1689,-3374,419,524,-2013,1035,-2275
21997,80.71,1.78,1.61,24.41,1003.59,-1561,-3440,542,503,-3391,-1360,-14
22130,80.53,1.61,1.61,24.41,1003.62,-1107,-3217,-10,360,-3344,-3708,111
22264,80.53,1.61,1.61,24.42,1003.61,-1988,-3488,567,361,-3730,-644,-406
22397,80.54,1.61,1.61,24.42,1003.61,-2312,-3781,497,403,-2671,-789,615
22532,80.58,1.65,1.62,24.42,1003.61,-2225,-2799,-440,231,-2421,-5042,2198
22668,80.55,1.62,1.62,24.43,1003.61,-1842,-2760,-625,-2,-3110,-102,582
22801,80.56,1.63,1.62,24.43,1003.61,-2302,-3305,196,39,-5573,-5523,3993
22935,80.56,1.63,1.62,24.44,1003.61,-2496,-3897,-1260,-326,-10979,12875,-2312
23070,80.58,1.66,1.63,24.44,1003.61,-2447,-3855,-490,-523,-2743,-12915,10074
23204,80.51,1.59,1.62,24.45,1003.62,-3596,-1951,-228,-481,-1238,7376,-293
23337,80.39,1.47,1.60,24.45,1003.63,-2795,-2413,-500,-456,-1776,424,-6288
23471,80.44,1.51,1.59,24.46,1003.63,-2019,-4068,-942,-684,-104,-10306,2796
23607,80.34,1.42,1.57,24.46,1003.64,-2870,-3331,-796,-591,-6428,-6905,3740
23740,80.38,1.45,1.55,24.47,1003.63,-2619,-2795,-1172,-727,-7861,-230,432
23873,80.32,1.40,1.53,24.47,1003.64,-3019,-2579,-1036,-889,-8254,-5657,-5076
24006,80.29,1.36,1.51,24.48,1003.64,-1779,-2975,-2061,-1201,-8314,-7177,1027
24139,80.18,1.25,1.48,24.49,1003.66,-1996,-2596,-2874,-1587,-6095,-88,-2611
24273,80.15,1.22,1.44,24.50,1003.66,-2352,-2497,-1759,-1780,-1912,1436,4354
24409,80.10,1.17,1.41,24.50,1003.67,-5012,-953,-876,-1721,-2466,-3169,3982
24542,80.02,1.09,1.37,24.51,1003.68,613,-3163,-4164,-2346,-4280,3954,-621
24676,79.93,1.01,1.32,24.51,1003.69,-7657,-382,1074,-1719,-4961,-3525,11658
24809,79.95,1.02,1.28,24.51,1003.68,-1421,-1795,-4422,-2029,-3904,5637,1548
24942,79.85,0.92,1.23,24.51,1003.70,-3057,-864,-2028,-2083,-4752,2718,3759
25075,79.84,0.92,1.19,24.51,1003.70,-3411,-604,-2546,-2417,-1763,1145,2919
25209,79.86,0.94,1.16,24.51,1003.69,-3490,-565,-2828,-2150,-359,-1971,-5085
25345,79.87,0.94,1.13,24.51,1003.69,-3212,-810,-1940,-2752,464,174,-3335
25479,79.75,0.83,1.09,24.52,1003.71,-2220,-1037,-2189,-2306,-2620,-211,-7804
25612,79.67,0.75,1.05,24.52,1003.72,-2563,-1450,-2323,-2365,-2145,1930,-3125
25745,79.63,0.71,1.00,24.53,1003.72,-3162,-1116,-2641,-2384,1162,-3958,-243
25878,79.57,0.65,0.95,24.53,1003.73,-2703,-1265,-2957,-2410,4679,-1923,-4240
26012,79.41,0.49,0.89,24.54,1003.75,-4339,-2174,-1990,-2420,4999,-1486,-1542
26145,79.24,0.32,0.82,24.55,1003.77,-2849,-1995,-2683,-2518,2430,1556,-397
26281,79.15,0.23,0.74,24.55,1003.78,-2366,-1976,-2301,-2514,1115,-1151,-3374
26415,79.14,0.22,0.67,24.56,1003.78,-2685,-1979,-2532,-2492,3246,-912,-3164
26548,79.13,0.21,0.61,24.56,1003.78,-3534,-3098,-1079,-2117,2953,-1565,5931
26681,79.10,0.18,0.55,24.56,1003.79,-4263,-3550,-1852,-2089,10132,-2557,5214
26815,79.19,0.27,0.52,24.56,1003.77,-3742,-2679,-91,-1571,-69,-3876,7590
26948,79.07,0.15,0.47,24.56,1003.79,-4322,-1895,-485,-1207,-5391,11724,11068
27084,78.94,0.01,0.41,24.56,1003.80,-4125,-1102,-1149,-931,-590,3687,-1928
27217,78.87,-0.05,0.35,24.57,1003.81,-3635,-1451,-1065,-928,-79,-3632,-193
27351,78.87,-0.05,0.30,24.57,1003.81,-3598,-1457,-983,-754,-671,-107,116
27484,78.79,-0.13,0.24,24.57,1003.82,-3604,-1460,-969,-930,-775,301,207
27617,78.82,-0.11,0.19,24.57,1003.82,-3607,-1449,-964,-1026,-986,636,537
